text,label
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
fake claims moon explode 2025 due solar flares circulating nasa officials denied event,0
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
world health organization declared official end covid 19 global pandemic stating virus managed routine immunization strategies,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
rumor claims new app uses ai phone usage data predict person die tool scientifically validated,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
viral whatsapp message suggests indian government deposit 1 lakh per month every citizen account authorities called hoax,0
isro confirmed chandrayaan 3 lander rover successfully survived harsh lunar night resuming communication scientific operations moon,1
viral online posts claim elon musk plans move tesla headquarters mars official confirmation exists,0
according 2025 imf report india overtaken japan germany become third largest economy world gdp,1
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
fake news states indian board university exams permanently cancelled ministry education clarified misinformation,0
openai unveiled sora generative ai model capable creating realistic videos simple text prompts revolutionizing content creation,1
isro announced first uncrewed mission gaganyaan human spaceflight program set late 2025 marking key milestone india space exploration roadmap,1
